,PLAYER,POS,FPTS,VOR,VALUE_RANK
0,Christian McCaffrey,RB,375.0,208.1,1.0
3,Michael Thomas,WR,333.1,151.20000000000002,2.0
6,Saquon Barkley,RB,310.8,143.9,3.0
8,Ezekiel Elliott,RB,299.6,132.70000000000002,4.0
11,Alvin Kamara,RB,296.2,129.29999999999998,5.0
13,Dalvin Cook,RB,289.9000000000001,123.00000000000009,6.0
9,Davante Adams,WR,298.8,116.9,7.0
29,Travis Kelce,TE,252.7,108.19999999999999,8.0
15,Julio Jones,WR,286.4,104.49999999999997,9.0
21,Derrick Henry,RB,261.4,94.49999999999997,10.0
48,George Kittle,TE,235.2,90.69999999999999,11.0
27,Clyde Edwards-Helaire,RB,254.1,87.19999999999999,12.0
1,Lamar Jackson,QB,361.1,86.60000000000002,13.0
30,Austin Ekeler,RB,252.6,85.69999999999999,14.0
34,Miles Sanders,RB,249.4,82.5,15.0
22,DeAndre Hopkins,WR,261.2,79.29999999999998,16.0
37,Kenyan Drake,RB,245.9,79.0,17.0
25,Tyreek Hill,WR,259.0,77.1,18.0
41,Joe Mixon,RB,241.3,74.4,19.0
43,Aaron Jones,RB,239.8,72.9,20.0
2,Patrick Mahomes,QB,345.0,70.5,21.0
33,Chris Godwin,WR,249.8,67.9,22.0
71,Zach Ertz,TE,211.1,66.6,23.0
40,Robert Woods,WR,241.5,59.599999999999994,24.0
42,D.J. Moore,WR,241.3,59.400000000000006,25.0
59,Nick Chubb,RB,224.8,57.900000000000006,26.0
60,Josh Jacobs,RB,222.6,55.69999999999999,27.0
45,Kenny Golladay,WR,236.9,55.0,28.0
46,Cooper Kupp,WR,236.8,54.900000000000006,29.0
49,Allen Robinson,WR,234.7,52.79999999999998,30.0
50,Mike Evans,WR,234.1,52.19999999999999,31.0
62,James Conner,RB,216.9,50.0,32.0
64,Todd Gurley,RB,216.5,49.599999999999994,33.0
52,Amari Cooper,WR,230.8,48.900000000000006,34.5
53,Calvin Ridley,WR,230.8,48.900000000000006,34.5
54,Adam Thielen,WR,229.9,48.0,36.0
56,Keenan Allen,WR,228.4,46.5,37.0
67,Le'Veon Bell,RB,212.4,45.5,38.0
86,Darren Waller,TE,189.8,45.30000000000001,39.0
68,Chris Carson,RB,212.2,45.29999999999998,40.0
69,David Johnson,RB,211.5,44.599999999999994,41.0
58,JuJu Smith-Schuster,WR,226.4,44.5,42.0
4,Dak Prescott,QB,318.4,43.89999999999998,43.0
87,Mark Andrews,TE,187.8,43.30000000000001,44.0
61,Odell Beckham Jr.,WR,221.8,39.900000000000006,45.5
74,Melvin Gordon,RB,206.8,39.900000000000006,45.5
5,Deshaun Watson,QB,312.6,38.10000000000002,47.0
63,DeVante Parker,WR,216.9,35.0,48.0
65,A.J. Brown,WR,216.3,34.400000000000006,49.0
7,Russell Wilson,QB,308.4,33.89999999999998,50.0
66,Tyler Lockett,WR,213.6,31.69999999999999,51.0
153,Harrison Butker,K,130.8,30.80000000000001,52.0
154,Wil Lutz,K,130.3,30.30000000000001,53.0
70,Courtland Sutton,WR,211.5,29.599999999999994,54.0
72,Terry McLaurin,WR,209.1,27.19999999999999,55.0
160,Justin Tucker,K,127.0,27.0,56.0
73,T.Y. Hilton,WR,208.0,26.099999999999994,57.0
102,Evan Engram,TE,169.1,24.599999999999994,58.0
75,Stefon Diggs,WR,205.5,23.599999999999994,59.0
76,D.K. Metcalf,WR,205.1,23.19999999999999,60.0
10,Josh Allen,QB,297.4,22.899999999999977,61.0
77,Julian Edelman,WR,204.6,22.69999999999999,62.0
78,Jarvis Landry,WR,204.3,22.400000000000006,63.0
170,Robbie Gould,K,122.0,22.0,64.0
79,A.J. Green,WR,203.6,21.69999999999999,65.0
173,Greg Zuerlein,K,121.1,21.099999999999994,66.0
12,Kyler Murray,QB,295.3,20.80000000000001,67.0
80,D.J. Chark,WR,202.1,20.19999999999999,68.0
82,Tyler Boyd,WR,200.4,18.5,69.0
109,Hunter Henry,TE,161.9,17.400000000000006,70.0
178,Stephen Gostkowski,K,116.5,16.5,71.5
83,Michael Gallup,WR,198.4,16.5,71.5
110,Tyler Higbee,TE,160.7,16.19999999999999,73.0
179,Jason Myers,K,115.6,15.599999999999994,74.0
14,Matt Ryan,QB,289.3,14.800000000000011,75.0
180,Dan Bailey,K,113.5,13.5,76.0
181,Matt Prater,K,112.8,12.799999999999997,77.0
184,Austin Seibert,K,112.0,12.0,78.5
183,Younghoe Koo,K,112.0,12.0,78.5
185,Jake Elliott,K,111.8,11.799999999999997,80.0
84,Marquise Brown,WR,193.3,11.400000000000006,81.0
187,Zane Gonzalez,K,111.2,11.200000000000003,82.0
